latitude,longitude,elevation,slope,country,state,ore,gangue,dep_type,hrock_type,arock_type,ore_ctrl,commod1
24.97425,118.39376,28.0,3.8426938,China,Fujian [Fukien],,,,,,,Manganese
22.99938,106.83295,614.0,27.737255,China,Guangxi* [Kwangsi],"Braunite, Psilomelane, Pyrolusite, Rhodochrosite","Actinolite, Biotite, Pyrite, Quartz",Stratiform,Limestone,,"Mn-Bearing Series, L-Devonian Strata","Manganese, Iron"
27.80456,112.80223,87.0,4.576345,China,Hunan,"Psilomelane, Pyrolusite, Rhodochrosite","Calcite, Kaolinite, Quartz",,"Shale,Sandstone",,Mn-Bearing Series,Manganese
24.51037,112.71446,403.0,33.06935,China,Guangdong [Kwangtung],"Plumbojarosite, Psilomelane, Pyrolusite","Epidote, Quartz",,"Shale,Limestone",,Fault Zone,Manganese
39.53416,116.11238,31.0,3.0345662,China,Hebei [Hopeh],"Argentite, Galena, Psilomelane, Pyrite, Pyrolusite, Rhodochrosite, Silver, Sphalerite","Calcite, Dolomite, Quartz",,Volcanic Rock (Aphanitic),,Faults Zone Of N310-330w,Manganese
39.53416,116.11238,31.0,3.0345662,China,Hebei [Hopeh],"Argentite, Galena, Psilomelane, Pyrite, Pyrolusite, Rhodochrosite, Silver, Sphalerite","Calcite, Dolomite, Quartz",,Volcanic Rock (Aphanitic),,Faults Zone Of N310-330w,Manganese
41.69815,112.20769,1683.0,4.640565,China,Nei Mongol* (Inner Mongolia),,,Residual,,,,Manganese
27.33236,110.14535,171.0,4.182134,China,Hunan,,,Sedimentary,,,,Manganese
27.57818,109.91619,413.0,20.777626,China,Hunan,,,Sedimentary,,,,Manganese
22.80773,111.50922,299.0,12.097629,China,Guangdong [Kwangtung],,,Residual,,,,"Manganese, Iron"
22.80773,111.50922,299.0,12.097629,China,Guangdong [Kwangtung],,,Residual,,,,"Manganese, Iron"
36.80668,95.8138,2683.0,0.0,China,Qinghai [Tsinghai],,,,,,,"Zinc, Iron, Manganese, Lead"
40.44267,115.30761,525.0,3.7664533,China,Hubei [Hupeh],,,Residual,,,,Manganese
25.14644,116.10493,434.0,20.61449,China,Fujian [Fukien],"Psilomelane, Pyrolusite",Quartz,,,,Weathering Zone,Manganese
23.36905,103.42193,1302.0,0.92740995,China,Yunnan,,,Sedimentary,,,,Manganese
23.36905,103.42193,1302.0,0.92740995,China,Yunnan,,,Sedimentary,,,,Manganese
40.53148,95.76657,1173.0,0.92740995,China,Gansu [Kansu],"Braunite, Psilomelane, Pyrolusite","Calcite, Pyrite, Quartz",,"Slate,Limestone",,Mn-Bearing Series,Manganese
42.50364,81.40317,3749.0,36.517128,China,Xinjiang* [Sinkiang],,,Sedimentary,,,,Manganese
37.50665,102.98079,2154.0,20.31894,China,Gansu [Kansu],,,Sedimentary,,,,Manganese
24.61177,117.30768,462.0,7.618923,China,,,,,,,,Manganese
28.97393,117.11182,25.0,5.616445,China,Jiangxi [Kiangsi],"Bixbyite, Braunite, Manganite, Psilomelane","Calcite, Dolomite, Pyrite",,Limestone,,Mn-Bearing Series,Manganese
28.97393,117.11182,25.0,5.616445,China,Jiangxi [Kiangsi],"Bixbyite, Braunite, Manganite, Psilomelane","Calcite, Dolomite, Pyrite",,Limestone,,Mn-Bearing Series,Manganese
27.70732,106.9746,939.0,19.49674,China,Guizhou [Kweichow],"Psilomelane, Pyrolusite, Rhodochrosite","Dolomite, Kaolinite, Pyrite, Quartz",,"Clay, Mud,Black Shale,Limestone",,"Strata, Mn-Bearing Series, Oxidizing Zone",Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
22.88286,79.61656,484.0,4.099506,India,,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,"Shale,Limestone,Chert",,,Manganese
